Destination;Supplier;Supplier Product;Product;Proportion;Sequence;Floor Price;Rate;Next Rate;Next Rate Diff;FP Diff;NID;Next Valid From;Next Valid Until;Destination Responsible;Volume
North Region;Apex Telecom;Data-Refile;Data;5;5;0.0946;0.3655;0.4035;0.0380;0.2709;Pending Review;1/15/2024;12/31/2029;Routing Team;72482
North Region;Bridge Networks;Premium-Voice;Data;;;0.1511;0.2091;0.1849;-0.0242;0.0580;Pending Review;1/15/2024;12/31/2029;Routing Team;86181
West Region;Jetstream Global;Data-Refile;Voice;10;2;0.2018;0.2997;0.3046;0.0049;0.0979;Low Rate;1/15/2024;12/31/2029;Routing Team;37421
North Region;Gateway Partners;Standard-Voice;Wholesale Bronze;;;0.2195;0.4506;0.5055;0.0549;0.2311;Equal Rate;1/15/2024;12/31/2029;Analytics Team;61217
North Region;Ironwave Communications;Data-Refile;ISDN;5;2;0.2271;0.3856;0.3606;-0.0250;0.1585;Low Rate;1/15/2024;12/31/2029;Routing Team;10116
South Region;Bridge Networks;Wholesale-Basic;Wholesale Bronze;10;3;0.1407;0.4409;0.4120;-0.0289;0.3002;Equal Rate;1/15/2024;12/31/2029;Commercial Team;47566
South Region;Ironwave Communications;Premium-Voice;Data;;;0.1425;0.2735;0.3438;0.0703;0.1310;High Rate;1/15/2024;12/31/2029;Commercial Team;91198
East Region;Apex Telecom;Premium-Voice;Voice;;;0.2110;0.3813;0.3399;-0.0414;0.1703;Low Rate;1/15/2024;12/31/2029;Routing Team;75341
West Region;Gateway Partners;Wholesale-Basic;Data;;;0.1030;0.2270;0.2500;0.0230;0.1240;Pending Review;1/15/2024;12/31/2029;Commercial Team;35438
West Region;Frontier Carriers;Premium-Voice;Data;10;2;0.1519;0.2292;0.1853;-0.0439;0.0773;Pending Review;1/15/2024;12/31/2029;Commercial Team;15371
North Region;Gateway Partners;Wholesale-Basic;ISDN;;;0.2492;0.4579;0.5341;0.0762;0.2087;Equal Rate;1/15/2024;12/31/2029;Commercial Team;2504
Central Metro;Echo Wholesale;Data-Refile;Voice;;;0.1087;0.2061;0.1565;-0.0496;0.0974;High Rate;1/15/2024;12/31/2029;Commercial Team;35522
North Region;Keystone Routing;Data-Refile;ISDN;;;0.1718;0.2677;0.3168;0.0491;0.0959;Equal Rate;1/15/2024;12/31/2029;Commercial Team;71697
East Region;Horizon Links;Standard-Voice;Voice;10;1;0.2358;0.5494;0.6075;0.0581;0.3136;High Rate;1/15/2024;12/31/2029;Commercial Team;41306
North Region;Bridge Networks;Wholesale-Basic;Voice;50;5;0.2456;0.4554;0.4217;-0.0337;0.2098;High Rate;1/15/2024;12/31/2029;Analytics Team;87474
Central Metro;Jetstream Global;Wholesale-Basic;Data;20;4;0.2358;0.5124;0.5521;0.0397;0.2766;Low Rate;1/15/2024;12/31/2029;Analytics Team;94447
Central Metro;Horizon Links;Standard-Voice;Data;;;0.0949;0.2463;0.2728;0.0265;0.1514;High Rate;1/15/2024;12/31/2029;Routing Team;31161
North Region;Lumen Transit;Standard-Voice;Data;10;3;0.0635;0.1229;0.1159;-0.0070;0.0594;Pending Review;1/15/2024;12/31/2029;Routing Team;68391
Central Metro;Cascade Connect;Wholesale-Gold;ISDN;5;1;0.1445;0.4299;0.4849;0.0550;0.2854;Pending Review;1/15/2024;12/31/2029;Analytics Team;25957
